76,2,2,1,0,0,3,5,7,4,4,0,8,6,2,6,1,3,3,2,4,2,6,3,3,5,1
77,1,9,5,2,5,4,9,15,2,21,6,17,17,6,12,0,2,6,2,4,8,19,12,7,25,1
78,3,1,4,0,3,1,4,6,1,9,1,5,4,3,7,2,1,1,0,3,2,7,7,1,13,1
79,2,0,2,0,1,0,4,8,0,7,2,6,8,0,6,0,0,1,0,2,2,2,9,0,8,1
80,0,4,0,0,4,4,3,3,0,11,1,5,5,1,8,0,1,1,0,1,5,9,8,2,13,1
81,0,1,4,0,5,2,6,6,2,5,2,6,7,0,3,1,0,2,0,3,5,6,6,4,4,1
82,1,0,0,0,1,0,4,2,3,1,0,3,2,0,1,0,0,0,0,3,1,1,3,0,0,1
83,0,4,5,1,8,2,6,6,2,6,2,6,7,2,12,2,2,6,0,3,6,9,6,5,14,1
84,0,1,1,0,1,1,0,3,0,1,1,1,1,0,4,0,0,0,2,0,0,4,2,0,4,1
85,2,1,4,2,5,5,6,9,2,10,2,2,8,4,9,0,1,0,0,0,2,10,11,1,29,1
86,0,2,5,1,2,0,5,7,2,6,3,8,10,2,8,0,2,2,0,0,6,7,8,2,4,1
87,1,2,3,1,3,0,6,10,0,9,3,7,6,5,10,0,6,0,0,2,3,12,7,1,10,1
88,2,2,3,2,3,2,2,8,1,1,2,5,5,1,3,0,2,2,1,1,3,9,11,5,14,1
89,1,8,4,2,9,9,8,9,1,16,7,11,1,0,12,0,1,0,0,2,10,16,12,4,29,1
90,0,0,5,3,5,0,5,2,1,8,4,8,7,0,5,3,2,2,1,3,4,3,10,4,14,1
91,0,6,6,2,6,3,13,19,1,17,6,5,14,4,19,1,2,2,0,7,9,14,15,5,21,1
92,1,3,1,1,1,1,5,7,1,9,3,7,6,1,6,0,3,2,0,4,1,5,6,3,6,1
93,3,9,8,1,12,9,12,9,1,18,2,10,13,4,20,1,5,4,0,4,13,18,20,3,25,1
94,0,1,4,0,6,2,9,15,1,11,1,7,15,3,13,0,1,1,1,1,2,6,14,1,26,1
95,1,6,8,0,3,3,7,7,2,8,3,12,18,4,12,0,3,4,1,2,0,10,15,2,38,1
96,0,1,2,0,2,1,6,4,2,4,1,3,2,0,3,0,2,4,1,4,3,3,8,1,7,1
97,0,0,0,0,0,0,1,2,0,5,0,0,1,0,2,0,0,0,0,1,0,2,0,1,2,1
98,1,0,3,1,0,4,2,4,2,4,3,4,7,1,4,1,2,0,0,0,0,2,3,0,2,1
99,0,2,2,0,3,0,2,4,1,7,2,2,4,2,5,0,4,1,1,1,2,6,2,2,7,1
100,1,0,0,2,1,4,1,2,0,5,0,5,3,0,3,0,1,0,0,2,4,1,3,1,5,1
101,4,5,4,1,9,7,11,19,1,18,5,16,13,2,25,1,0,3,0,5,13,32,28,3,26,1
102,2,1,3,1,3,1,8,8,0,5,2,9,4,2,8,0,3,0,2,4,2,8,11,2,11,1
103,2,1,0,2,4,1,6,4,1,8,0,3,10,1,10,0,2,1,0,1,0,8,2,2,10,1
104,0,3,2,0,0,3,4,2,0,6,0,2,6,1,9,1,1,2,0,1,3,7,8,1,8,1
105,4,14,10,3,7,8,13,15,1,14,7,15,19,4,12,4,3,3,3,6,6,15,18,5,25,1
106,2,0,1,0,2,2,3,3,3,4,1,3,2,2,7,1,0,0,0,2,2,6,3,2,13,1
107,3,4,6,1,4,3,2,7,2,7,4,8,9,3,13,1,1,4,0,1,5,8,6,3,16,1
108,1,0,0,2,2,2,4,4,1,6,2,4,3,2,4,0,1,1,0,2,4,5,4,0,8,1
109,1,0,1,1,0,1,2,7,2,4,1,1,4,0,1,0,3,0,0,0,7,3,4,0,6,1
110,2,3,6,1,3,4,6,11,3,9,3,2,6,4,6,0,3,0,1,2,4,13,9,3,6,1
111,2,7,3,4,4,4,9,8,3,6,5,9,13,1,3,2,6,4,0,3,4,12,8,3,13,1
112,1,0,3,0,2,1,1,2,1,4,1,3,7,1,2,1,2,1,0,2,2,4,1,3,10,1
113,4,3,7,0,7,1,13,20,1,21,6,16,17,2,19,2,3,5,1,4,5,17,18,6,33,1
114,3,1,5,2,1,1,14,7,3,9,2,8,11,3,5,1,3,4,1,1,6,11,8,2,12,1
115,1,1,1,0,3,1,6,4,3,16,1,6,8,3,11,0,0,2,1,2,1,6,10,1,18,1
116,0,0,4,0,1,2,8,11,1,11,1,8,7,2,10,1,2,2,0,3,6,14,8,6,14,1
117,0,2,1,0,0,7,11,11,2,10,4,10,5,3,7,0,0,1,0,1,3,14,13,1,11,1
118,0,1,2,2,1,0,9,11,0,4,1,7,4,1,7,0,2,0,0,2,2,13,3,1,10,1
119,2,5,5,0,2,9,12,6,4,12,7,8,5,1,5,1,2,2,0,3,5,10,8,0,8,1
120,2,3,2,2,5,3,8,10,1,9,2,6,11,3,10,2,3,3,0,3,4,11,10,3,9,1
121,1,1,2,0,1,3,3,3,1,4,0,5,3,4,3,0,1,2,0,1,0,5,5,2,0,1
122,2,7,7,3,4,2,5,12,4,11,2,8,15,1,12,1,2,4,0,2,2,12,12,2,9,1
123,3,2,4,2,1,3,4,13,2,11,1,14,6,3,12,0,2,3,1,2,6,8,5,6,12,1
124,0,0,0,0,3,1,3,3,1,3,0,2,5,0,3,0,0,1,0,1,0,8,3,2,2,1
125,1,2,2,1,3,2,4,9,2,8,3,10,13,0,8,0,2,1,0,0,0,9,2,3,11,1
126,3,0,0,1,6,1,3,7,0,5,2,4,19,1,11,1,0,4,1,1,2,6,10,2,10,1
127,1,2,1,1,3,5,1,5,0,9,3,2,4,2,6,0,1,1,0,3,2,7,4,0,5,1
128,1,9,12,3,17,8,20,24,1,17,9,20,22,4,22,3,5,8,1,10,10,12,24,6,21,1
129,0,2,2,1,2,3,3,6,1,6,4,4,11,1,5,1,0,2,1,1,2,13,7,5,5,1
130,2,2,4,0,4,6,7,8,2,12,4,7,4,1,6,3,1,0,0,5,6,10,9,3,13,1
131,1,4,4,0,7,1,8,5,0,7,3,8,12,5,6,3,4,1,0,3,4,10,10,2,8,1
132,0,1,1,2,0,2,12,8,3,14,1,8,16,5,9,1,3,5,2,4,3,16,9,4,19,1
133,5,5,8,3,7,6,17,24,3,35,9,14,19,8,23,2,3,4,2,4,11,24,21,7,30,1
134,3,5,7,0,8,6,11,18,2,21,10,17,15,5,17,7,2,4,2,10,12,17,23,4,21,1
135,1,1,3,1,1,1,6,3,0,5,1,6,3,0,2,1,2,1,0,2,3,5,3,3,3,1
136,1,1,0,0,0,2,1,3,0,3,0,0,1,0,1,0,0,2,0,2,4,2,1,1,7,1
137,3,3,6,3,2,5,9,6,4,20,4,7,8,5,12,2,2,3,2,4,6,12,12,4,23,1
138,2,5,5,1,7,7,4,10,3,11,7,8,13,4,13,1,4,1,0,1,10,10,9,2,12,1
139,3,4,4,1,9,5,8,6,1,15,2,6,3,0,12,0,2,0,1,5,10,17,11,3,24,1
140,4,4,5,7,4,2,10,11,5,15,6,10,18,2,13,0,0,3,2,3,5,14,7,2,19,1
141,1,6,2,1,4,4,9,15,5,12,3,14,11,1,14,0,3,2,1,2,6,9,11,3,17,1
142,4,9,7,3,10,5,27,25,13,18,4,25,27,11,27,1,8,13,5,14,12,31,29,13,38,1
143,0,0,1,3,1,2,4,3,0,4,0,3,2,1,4,0,1,0,0,1,0,6,1,1,3,1
144,0,1,1,1,3,2,5,7,4,14,2,6,14,1,9,1,2,1,2,8,1,14,8,6,6,1
145,0,3,1,0,3,2,4,6,4,6,0,7,3,4,5,1,1,1,0,4,1,8,6,3,7,1
146,1,2,4,3,8,4,6,16,3,14,7,7,11,4,19,5,4,1,2,1,4,8,12,3,17,1
147,0,0,1,1,6,4,2,5,1,5,1,12,11,4,1,0,2,3,0,2,3,4,7,2,12,1
148,0,2,1,1,0,1,2,4,0,2,0,2,2,0,2,0,1,0,0,0,2,3,2,1,4,1
149,0,0,1,0,3,2,1,5,0,9,0,3,2,4,5,0,0,0,1,0,0,4,4,1,5,1
150,1,4,6,2,3,3,2,5,0,5,4,9,5,1,7,1,5,2,0,1,2,10,7,5,8,1
151,0,0,3,0,2,1,9,6,0,7,1,3,2,2,4,0,3,1,1,0,1,2,5,1,6,1
152,1,2,4,1,2,2,3,5,2,7,2,3,9,4,8,0,0,1,1,0,2,6,6,0,9,1
153,1,8,15,0,9,7,24,20,7,24,11,22,26,10,32,2,3,7,3,6,4,19,30,5,35,1
154,2,3,6,0,4,2,5,6,2,7,3,5,7,1,8,1,1,0,1,0,7,5,10,2,15,1
155,0,3,1,1,4,2,8,12,1,7,4,12,7,7,7,2,2,1,3,4,3,14,6,4,11,1
156,2,1,6,1,0,5,11,16,3,4,7,7,9,3,8,2,5,4,1,4,1,9,4,1,5,1
157,0,10,0,1,2,3,4,7,3,4,1,5,6,3,10,0,0,0,0,4,0,16,6,1,7,1
158,0,2,0,0,1,2,4,7,2,6,0,3,2,1,5,1,1,4,1,2,1,3,4,0,1,1
159,0,4,6,2,6,3,15,8,5,19,5,14,17,3,12,2,3,3,1,8,7,23,22,9,22,1
160,0,0,0,0,1,1,3,7,0,10,0,4,5,1,3,0,3,2,0,1,1,5,4,1,7,1
161,0,0,0,2,0,0,4,3,2,9,2,0,4,0,7,0,0,0,0,0,1,6,6,0,6,1
162,1,1,0,0,1,1,1,5,1,0,0,0,2,2,3,0,1,0,0,2,0,4,3,0,5,1
163,3,0,2,1,2,3,11,14,1,12,1,10,8,2,16,1,0,1,0,3,2,12,13,0,20,1
164,0,0,0,0,1,0,4,1,1,3,0,2,0,1,3,0,0,1,0,1,0,3,4,2,4,1
165,0,0,0,0,2,0,2,3,1,2,0,3,1,1,5,0,1,1,0,2,1,4,7,1,4,1
166,1,1,0,0,1,1,1,3,0,5,2,5,5,0,5,0,0,0,1,0,2,2,4,1,5,1
167,0,2,3,1,6,4,8,6,0,5,4,16,10,3,7,1,3,4,0,3,5,5,7,2,14,1
168,5,8,3,4,5,1,14,20,6,10,8,17,20,5,21,1,3,4,2,3,4,15,20,4,20,1
169,1,0,6,0,2,2,4,11,1,1,1,6,7,0,2,3,0,0,1,2,3,3,5,2,8,1
170,0,0,4,0,2,1,5,5,5,10,1,8,6,3,6,1,4,3,3,2,2,4,2,1,7,1
171,0,1,1,1,7,0,9,13,2,14,0,6,7,2,13,0,7,2,0,5,5,9,9,4,9,1
172,0,5,4,1,4,4,5,7,4,3,1,6,6,1,12,3,4,3,1,2,7,9,5,3,11,1
173,2,3,3,1,9,2,4,8,1,7,6,11,6,0,5,1,1,0,0,3,3,14,8,1,12,1
174,0,1,2,1,2,3,3,4,0,7,3,3,6,2,6,0,5,5,2,3,1,7,3,1,7,1
175,2,0,1,1,2,4,7,10,0,7,3,4,7,2,13,3,2,2,4,2,1,8,10,2,9,1
176,0,0,1,0,2,0,5,5,1,7,0,2,0,1,2,0,2,0,0,0,1,4,3,4,5,1
177,2,0,2,0,2,0,8,7,2,6,1,5,13,3,6,0,1,1,0,4,2,10,11,4,17,1
178,1,1,2,0,4,2,1,10,2,6,1,9,6,1,5,1,1,1,0,3,2,6,5,1,8,1
179,3,3,4,0,3,1,7,6,2,12,4,6,10,6,12,1,1,2,0,2,4,7,9,3,12,1
180,0,3,4,0,3,0,4,3,1,8,1,11,6,2,10,1,1,4,1,3,1,3,13,1,5,1
181,4,1,1,0,2,1,2,3,0,7,2,0,3,1,3,0,1,2,0,3,3,6,5,1,10,1
182,0,2,7,1,3,5,18,13,4,10,1,15,13,5,13,1,4,4,1,4,4,16,17,3,21,1
183,0,1,0,0,1,2,5,6,1,5,1,5,9,2,6,0,4,1,0,2,2,5,5,1,4,1
184,1,1,2,0,1,2,4,9,0,5,7,5,13,0,2,1,4,2,2,3,1,3,3,6,8,1
185,2,3,6,3,7,5,10,18,3,15,3,14,17,5,20,2,5,10,0,11,12,19,21,5,19,1
186,3,5,6,1,5,4,11,11,1,13,3,8,6,2,19,2,0,1,0,3,11,16,10,2,16,1
187,8,6,4,1,9,3,8,11,4,20,6,21,21,5,22,4,3,5,1,6,7,9,21,5,19,1
188,0,1,1,1,2,0,16,5,4,14,2,13,6,3,6,2,1,3,0,4,3,14,4,3,11,1
189,1,3,5,0,1,2,2,2,1,6,2,2,3,1,4,1,0,0,0,1,2,3,3,1,6,1
190,0,0,2,2,5,1,5,9,0,13,2,6,7,3,7,4,1,5,1,2,4,11,11,2,12,1
191,2,1,2,2,3,3,7,3,2,8,1,9,3,2,6,1,4,0,0,3,1,3,7,3,6,1
192,0,7,3,0,4,0,6,7,5,9,4,9,8,2,8,0,1,2,0,0,2,12,11,2,13,1
193,2,0,1,0,6,2,11,7,5,14,4,10,12,3,18,0,3,3,4,4,4,16,14,2,16,1
194,1,0,2,0,2,0,3,1,1,2,2,0,0,0,3,0,1,1,0,1,0,1,4,4,2,1
195,0,0,2,2,2,2,7,6,1,11,2,1,6,3,7,2,0,2,1,1,3,8,8,4,5,1
196,1,0,4,1,0,0,5,5,2,4,2,2,2,1,2,1,4,1,2,2,1,5,6,2,3,1
197,0,0,0,0,1,1,3,4,1,6,1,2,7,1,10,0,1,4,0,3,2,3,7,1,5,1
198,1,3,6,2,7,5,6,5,1,12,8,10,12,1,14,1,2,1,0,3,7,11,15,4,21,1
199,0,3,1,0,4,1,2,5,2,5,0,6,5,2,6,1,2,0,3,1,4,10,3,2,5,1
200,2,5,5,1,5,6,8,10,3,17,4,11,9,1,15,1,1,4,1,5,2,17,15,5,20,1
201,0,2,1,0,3,3,3,7,2,10,3,8,8,4,7,0,2,2,1,2,5,6,7,3,11,1
202,1,2,5,0,4,1,8,4,2,10,6,4,9,2,9,0,2,4,1,3,4,7,8,5,18,1
203,3,3,8,5,11,7,14,23,1,15,9,15,28,3,29,0,1,9,0,7,12,13,24,10,38,1
204,0,2,3,2,2,3,5,4,0,4,3,5,11,2,9,1,1,2,1,2,0,7,6,2,7,1
205,4,7,8,4,13,9,6,14,3,25,6,13,34,7,36,5,4,6,2,6,15,25,48,7,42,1
206,1,1,1,0,2,1,3,10,1,8,0,13,9,3,11,2,2,4,2,3,5,7,13,0,13,1
207,2,5,1,0,7,5,12,14,5,10,3,7,12,4,13,1,0,4,3,4,3,16,13,3,14,1
208,0,0,0,0,0,0,3,5,1,5,1,2,0,1,3,0,2,0,0,0,0,2,2,1,1,1
209,1,2,2,0,2,1,6,1,2,2,1,1,3,0,1,1,0,0,0,2,4,8,4,1,6,1
210,1,2,3,0,3,5,10,8,3,7,4,3,4,2,8,2,1,1,1,1,4,9,8,2,8,1
211,0,2,2,0,4,1,3,6,1,6,2,4,3,0,7,1,0,2,1,4,1,12,7,0,7,1
212,1,4,3,0,4,5,7,13,1,14,1,5,2,3,2,1,5,1,0,8,4,11,6,3,19,1
213,1,1,3,1,4,1,4,4,2,9,5,4,5,4,12,2,2,1,1,0,5,9,9,1,7,1
214,5,7,10,0,11,3,8,8,1,19,5,7,7,2,10,1,2,5,0,2,7,16,11,8,25,1
215,3,0,10,0,5,4,8,13,0,10,4,15,20,5,8,0,2,4,0,1,2,10,8,2,12,1
216,0,1,2,1,2,3,2,4,2,16,5,4,6,5,8,1,4,4,7,6,8,0,6,4,11,0
217,0,0,0,1,0,1,2,2,0,6,1,1,1,0,4,0,0,0,0,2,0,4,2,2,7,0
218,4,9,12,4,11,12,25,20,5,20,7,19,18,5,14,7,4,4,1,2,5,11,14,5,17,0
219,2,0,3,3,0,1,1,3,0,2,3,0,6,0,8,4,3,2,1,3,2,1,10,2,12,0
220,0,0,1,0,0,2,2,3,2,0,1,8,8,0,4,1,0,1,1,1,2,5,6,4,22,0
221,1,3,7,0,6,2,7,13,4,19,1,14,22,3,20,1,2,5,0,2,9,16,21,3,22,0
222,1,1,3,1,2,3,4,14,1,18,5,8,11,1,18,0,2,3,2,2,1,13,15,7,30,0
223,1,5,1,0,1,2,6,8,3,10,1,4,5,0,7,0,1,2,0,1,3,5,10,0,13,0
224,0,1,0,1,2,1,5,4,0,8,2,1,3,1,5,0,0,0,0,0,2,1,7,1,6,0
225,4,1,4,1,9,3,3,5,3,12,4,7,8,1,9,1,0,0,0,4,5,10,11,3,13,0
226,2,11,1,0,0,5,8,6,4,3,4,10,12,2,5,0,3,0,0,0,2,7,6,1,5,0
227,1,2,6,2,5,3,11,14,2,3,4,11,12,6,16,2,1,3,0,4,5,9,10,1,12,0
228,2,11,9,0,11,11,17,24,3,18,8,14,16,2,17,3,3,4,4,2,8,28,17,10,29,0
229,0,0,0,0,1,1,3,8,1,3,1,4,5,1,9,0,1,1,0,1,3,11,9,1,11,0
230,0,6,4,4,1,5,19,14,4,9,3,10,8,0,9,1,2,2,0,0,3,4,8,1,4,0
231,3,7,12,2,7,8,17,23,3,30,11,29,40,8,32,2,3,6,1,9,16,32,45,4,37,0
232,3,3,1,0,2,0,4,6,0,9,5,2,8,2,3,1,4,3,0,1,2,6,6,3,16,0
233,2,8,5,0,4,2,10,11,3,3,8,13,15,2,4,2,5,4,1,4,3,6,16,2,11,0
234,1,4,6,1,8,5,13,9,2,9,5,4,9,1,4,0,2,4,1,0,3,8,9,5,12,0
235,3,6,2,0,11,6,16,8,5,46,8,17,12,5,22,0,2,3,0,4,15,32,29,5,52,0
236,0,2,0,0,2,0,6,7,1,11,3,1,9,0,13,4,2,2,0,5,6,8,16,1,26,0
237,3,6,4,2,2,6,19,13,6,5,8,11,8,3,8,0,1,2,1,0,5,6,9,1,8,0
238,1,4,4,1,6,5,9,11,5,7,6,11,14,3,7,0,3,2,0,2,4,5,11,2,8,0
239,2,9,7,0,8,6,15,14,2,9,5,7,14,3,8,3,0,2,1,4,5,5,7,1,8,0
240,4,7,7,3,9,6,15,13,3,10,6,14,22,2,25,2,5,12,1,3,10,9,16,2,10,0
241,3,8,7,3,8,7,11,13,2,18,9,14,14,3,17,2,2,3,0,6,12,21,18,9,25,0
242,3,5,5,1,5,3,22,15,4,12,10,12,13,3,9,2,6,4,1,1,7,10,10,4,16,0
243,0,1,2,0,0,1,3,2,0,1,0,1,1,0,3,0,0,0,0,0,2,2,4,0,7,0
244,0,3,1,0,1,2,8,7,0,3,1,4,5,0,3,0,1,0,1,0,1,0,6,0,9,0
245,3,4,6,4,4,5,5,12,6,4,3,15,5,4,9,3,2,6,0,1,6,7,5,0,5,0
246,0,0,3,0,5,2,5,9,2,4,0,10,11,1,11,0,1,4,0,3,1,4,13,4,15,0
247,0,4,3,0,3,2,6,12,3,2,0,10,5,3,5,0,2,5,1,1,2,4,1,2,5,0
248,1,4,2,0,0,1,3,4,1,7,2,10,6,2,9,1,1,1,0,1,3,6,8,2,7,0
249,0,1,0,0,1,2,4,1,0,3,1,6,1,0,5,0,0,1,0,1,4,3,3,1,2,0
250,2,8,5,0,14,4,7,14,3,18,3,4,10,3,15,3,1,4,2,3,11,15,16,5,17,0
251,3,8,10,1,5,7,14,24,3,31,11,26,35,10,40,4,4,3,2,8,9,31,43,9,54,0
252,1,1,6,0,3,4,15,20,7,11,4,17,30,9,25,1,1,5,4,1,6,11,17,5,22,0
253,0,13,8,1,5,9,27,20,5,13,9,17,12,2,17,2,4,5,0,5,5,17,16,5,15,0
254,0,0,0,0,1,0,1,2,0,1,0,3,9,3,9,0,0,2,1,0,0,1,13,1,8,0
255,0,0,0,0,0,1,6,2,2,8,0,4,10,0,7,0,0,1,0,0,2,3,2,0,2,0
256,0,1,5,1,4,5,17,17,8,12,6,15,21,5,12,3,4,5,1,1,2,13,10,3,5,0
257,5,16,17,2,9,11,39,43,6,48,18,40,51,11,41,4,5,9,1,9,8,41,42,16,38,0
258,0,0,0,0,3,2,1,6,0,5,1,1,6,1,7,0,2,1,0,0,2,10,7,3,31,0
